Date,Time,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
2023-03-02,22:19,ACC153533,ACC273889,4571.47,TRY,CNY,UK,Turkey,Cross-Border,1,Suspicious_Related_Accounts
2023-12-12,11:36,ACC779424,ACC715722,219.73,CNY,MXN,USA,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-11-07,11:46,ACC883185,ACC811070,1567.81,GBP,GBP,Morocco,China,Credit Card,0,Normal_Personal_Transfer
2023-09-02,02:52,ACC280653,ACC675087,7816.63,MXN,GBP,UAE,UK,Cross-Border,1,Suspicious_Structuring
2023-06-18,19:15,ACC220388,ACC743874,7624.04,CNY,USD,UK,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-05-31,05:55,ACC915134,ACC160964,7899.41,CNY,GBP,UK,China,Credit Card,0,Normal_Personal_Transfer
2023-08-26,21:35,ACC223482,ACC546894,9216.19,CNY,GBP,Turkey,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-07-19,21:51,ACC895063,ACC302222,1199.52,USD,CNY,Turkey,USA,Mobile Payment,0,Normal_Corporate_Payment
2023-01-23,22:38,ACC354936,ACC459523,1639.77,CNY,EUR,China,UK,Cross-Border,1,Suspicious_Related_Accounts
2023-07-07,12:29,ACC187388,ACC815798,3342.2,MAD,MXN,Morocco,Turkey,Debit Card,0,Normal_Corporate_Payment
2023-10-22,16:15,ACC749086,ACC734275,9152.26,MXN,TRY,UK,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-06-17,18:41,ACC694331,ACC948358,7757.02,GBP,CNY,Morocco,UK,Credit Card,0,Normal_Personal_Transfer
2023-01-19,03:08,ACC784341,ACC628089,3247.97,GBP,USD,USA,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-10-14,14:25,ACC922196,ACC534264,885.48,MXN,GBP,Germany,Morocco,Cheque,1,Suspicious_Related_Accounts
2023-03-15,00:49,ACC857131,ACC926576,6167.64,CNY,EUR,Turkey,Germany,Debit Card,0,Normal_Corporate_Payment
2023-04-05,11:56,ACC884147,ACC980910,2575.62,EUR,EUR,Mexico,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-03-02,03:42,ACC543729,ACC765508,5316.21,MAD,CNY,Mexico,Morocco,Cheque,1,Suspicious_Related_Accounts
2023-05-01,04:23,ACC753302,ACC212364,9418.62,TRY,MAD,USA,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-10-04,08:45,ACC213076,ACC969251,5730.45,TRY,TRY,Turkey,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-07-09,10:22,ACC723295,ACC775221,9239.11,GBP,TRY,Germany,China,Debit Card,0,Normal_Corporate_Payment
2023-03-16,14:57,ACC821558,ACC554933,3936.46,CNY,AED,UAE,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-11-17,01:47,ACC911372,ACC253552,6337.18,MXN,MXN,Morocco,Germany,Credit Card,0,Normal_Personal_Transfer
2023-11-18,12:05,ACC993850,ACC118637,8939.96,EUR,AED,UK,Mexico,Cash,1,Suspicious_Shell_Companies
2023-11-14,04:22,ACC171792,ACC931053,5883.99,MAD,MAD,Turkey,USA,Cash,1,Suspicious_Related_Accounts
2023-03-29,13:46,ACC521648,ACC553520,6152.84,USD,GBP,USA,USA,Cross-Border,1,Suspicious_RapidMovement
2023-06-14,15:17,ACC108367,ACC671719,7165.92,TRY,EUR,Morocco,China,Mobile Payment,0,Normal_Corporate_Payment
2023-12-26,13:21,ACC998196,ACC724225,8822.26,AED,USD,UK,UAE,Cross-Border,1,Suspicious_RapidMovement
2023-10-09,17:43,ACC858961,ACC418316,890.92,MAD,MXN,Turkey,China,Credit Card,0,Normal_Corporate_Payment
2023-01-10,08:03,ACC895005,ACC125437,3375.23,CNY,CNY,China,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-01-24,18:21,ACC639870,ACC501365,3982.87,MAD,GBP,Germany,Germany,Credit Card,0,Normal_Corporate_Payment
2023-06-19,10:23,ACC236450,ACC507887,9098.0,EUR,MAD,Mexico,UAE,Cross-Border,1,Suspicious_Cash_Intensive
2023-11-28,11:37,ACC951728,ACC596221,9560.52,MAD,TRY,USA,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-07-16,15:33,ACC768860,ACC123119,1212.6,TRY,MAD,Mexico,Mexico,Cheque,1,Suspicious_RapidMovement
2023-07-01,00:26,ACC427985,ACC801477,1199.89,MXN,GBP,Morocco,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-02-08,15:41,ACC646169,ACC330389,9349.27,CNY,MAD,UK,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-08-28,14:50,ACC956665,ACC509495,2964.76,TRY,TRY,UK,UAE,Credit Card,0,Normal_Personal_Transfer
2023-10-28,07:26,ACC806902,ACC955267,2425.73,USD,GBP,China,Mexico,ACH Transfer,0,Normal_Personal_Transfer
2023-05-19,02:03,ACC689573,ACC330882,365.87,MXN,USD,UAE,USA,Cross-Border,1,Suspicious_Cash_Intensive
2023-10-11,02:10,ACC159547,ACC357157,2763.2,GBP,AED,UK,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-12-19,22:09,ACC817511,ACC576113,6938.33,EUR,MXN,UK,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-03-16,16:32,ACC762582,ACC685093,4266.1,CNY,MAD,Morocco,UK,Debit Card,0,Normal_Corporate_Payment
2023-07-11,03:03,ACC107933,ACC118201,5173.53,TRY,TRY,UAE,Mexico,Cheque,1,Suspicious_CrossBorder_Transfer
2023-04-15,08:33,ACC445529,ACC357636,9173.78,MXN,USD,Mexico,UAE,Debit Card,0,Normal_Personal_Transfer
2023-10-17,14:13,ACC865127,ACC128634,1155.75,MAD,EUR,Mexico,USA,Cash,1,Suspicious_Related_Accounts
2023-07-30,20:03,ACC722994,ACC504042,721.69,MXN,USD,USA,Turkey,Cross-Border,1,Suspicious_Related_Accounts
2023-08-20,01:02,ACC571653,ACC448965,8520.79,TRY,USD,USA,Germany,Debit Card,0,Normal_Personal_Transfer
2023-10-19,05:40,ACC971022,ACC605341,7750.81,GBP,USD,UK,Mexico,ACH Transfer,0,Normal_Personal_Transfer
2023-05-25,21:21,ACC468543,ACC407919,2644.7,TRY,CNY,Turkey,UK,Cheque,1,Suspicious_Shell_Companies
2023-12-01,00:13,ACC421289,ACC488690,3249.1,GBP,TRY,Germany,UAE,Cross-Border,1,Suspicious_Shell_Companies
2023-07-14,04:50,ACC274682,ACC214090,3109.68,MAD,CNY,USA,China,Debit Card,0,Normal_Corporate_Payment
2023-02-27,23:00,ACC419664,ACC698964,6481.61,TRY,EUR,UK,Germany,Credit Card,0,Normal_Corporate_Payment
2023-09-12,14:43,ACC628832,ACC106798,621.5,MXN,MXN,Turkey,China,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-10-17,06:16,ACC941244,ACC608377,4899.12,USD,USD,Turkey,UK,Debit Card,0,Normal_Corporate_Payment
2023-04-26,01:36,ACC302682,ACC559319,1347.39,USD,TRY,Mexico,USA,E-Wallet,0,Normal_Corporate_Payment
2023-11-09,00:40,ACC282572,ACC701448,8199.19,MAD,TRY,Turkey,Turkey,Mobile Payment,0,Normal_Corporate_Payment
2023-11-27,05:52,ACC481234,ACC177751,3812.82,AED,MXN,China,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-04-12,21:09,ACC985486,ACC282482,5280.45,AED,AED,Mexico,USA,Cash,1,Suspicious_Related_Accounts
2023-12-25,09:58,ACC317054,ACC403032,302.88,MXN,GBP,Mexico,Turkey,Cheque,1,Suspicious_RapidMovement
2023-02-21,17:17,ACC587295,ACC411191,592.06,USD,EUR,China,Morocco,Cross-Border,1,Suspicious_Shell_Companies
2023-03-15,22:02,ACC518005,ACC471784,6753.8,MAD,EUR,Morocco,Germany,Cross-Border,1,Suspicious_Related_Accounts
2023-03-09,09:47,ACC494833,ACC464758,7670.04,GBP,MAD,Morocco,Mexico,Debit Card,0,Normal_Corporate_Payment
2023-11-23,04:35,ACC359711,ACC145955,7103.26,MXN,USD,Mexico,Mexico,Cash,1,Suspicious_Structuring
2023-08-27,12:24,ACC725122,ACC343465,7372.82,AED,GBP,USA,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-02-25,21:47,ACC234405,ACC789224,1055.15,CNY,AED,Mexico,China,Debit Card,0,Normal_Personal_Transfer
2023-06-10,19:18,ACC140002,ACC572334,6937.57,GBP,EUR,China,USA,Debit Card,0,Normal_Personal_Transfer
2023-08-13,01:34,ACC355549,ACC709778,1825.66,MXN,AED,UK,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-01-31,16:37,ACC843048,ACC401409,989.17,GBP,MAD,UAE,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-11-19,13:43,ACC582843,ACC670601,7574.04,GBP,USD,UK,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-10-21,21:46,ACC493727,ACC144350,8895.17,USD,GBP,UK,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-07-04,02:56,ACC474994,ACC246450,7169.93,CNY,TRY,Morocco,Morocco,Cheque,1,Suspicious_CrossBorder_Transfer
2023-12-20,12:49,ACC754299,ACC995600,8057.68,MXN,USD,China,Mexico,ACH Transfer,0,Normal_Personal_Transfer
2023-06-02,21:06,ACC793210,ACC349406,9910.97,TRY,GBP,China,USA,Mobile Payment,0,Normal_Personal_Transfer
2023-12-26,09:50,ACC745836,ACC872467,1356.21,USD,MXN,USA,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-09-01,11:34,ACC575388,ACC300887,9651.87,GBP,EUR,China,UK,Credit Card,0,Normal_Corporate_Payment
2023-08-20,01:41,ACC131786,ACC914356,6015.97,GBP,AED,Turkey,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-03-02,06:40,ACC567572,ACC969025,8134.4,AED,USD,UK,China,ACH Transfer,0,Normal_Corporate_Payment
2023-11-18,07:47,ACC398388,ACC107312,6505.19,TRY,MAD,China,UAE,Cheque,1,Suspicious_CrossBorder_Transfer
2023-06-06,22:40,ACC830074,ACC916785,5704.68,AED,TRY,Germany,Morocco,Cheque,1,Suspicious_Related_Accounts
2023-03-01,06:47,ACC167261,ACC213744,7039.15,TRY,MAD,Morocco,UAE,Cash,1,Suspicious_Related_Accounts
2023-01-05,11:03,ACC380621,ACC331745,3209.38,GBP,AED,Mexico,USA,Cheque,1,Suspicious_RapidMovement
2023-07-24,16:06,ACC801893,ACC317522,9243.47,TRY,USD,USA,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-07-12,03:53,ACC370640,ACC378336,1161.77,CNY,EUR,UK,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-09-20,11:40,ACC220522,ACC772810,3187.13,EUR,EUR,UAE,Morocco,Cash,1,Suspicious_RapidMovement
2023-11-21,17:43,ACC505486,ACC760792,321.31,AED,GBP,Turkey,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-01-29,20:48,ACC831368,ACC288297,2720.52,AED,MAD,Turkey,Germany,Cheque,1,Suspicious_Shell_Companies
2023-09-24,15:01,ACC382868,ACC982980,2189.95,USD,MAD,UAE,Turkey,Credit Card,0,Normal_Personal_Transfer
2023-03-10,16:03,ACC392560,ACC198991,505.81,CNY,TRY,UK,Turkey,Cash,1,Suspicious_RapidMovement
2023-11-10,03:01,ACC659863,ACC178711,4922.82,MXN,AED,Turkey,Germany,Credit Card,0,Normal_Personal_Transfer
2023-10-26,22:41,ACC574406,ACC820964,4691.67,AED,GBP,Germany,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-07-17,03:10,ACC700902,ACC765655,786.68,TRY,TRY,USA,UAE,Debit Card,0,Normal_Corporate_Payment
2023-09-17,18:35,ACC193566,ACC106774,2625.89,TRY,CNY,Morocco,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-04-25,06:21,ACC352061,ACC739395,9533.69,EUR,USD,Mexico,USA,Mobile Payment,0,Normal_Personal_Transfer
2023-06-21,22:24,ACC828468,ACC767550,1116.26,MXN,USD,USA,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-10-27,17:16,ACC227192,ACC524502,3057.14,EUR,CNY,USA,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-06-17,18:05,ACC643647,ACC831685,368.27,MXN,MAD,Morocco,Mexico,ACH Transfer,0,Normal_Personal_Transfer
2023-05-11,05:15,ACC501914,ACC328552,1497.38,AED,AED,UAE,Germany,Cheque,1,Suspicious_Cash_Intensive
2023-06-30,10:37,ACC301464,ACC696715,6996.98,AED,GBP,UK,China,Mobile Payment,0,Normal_Personal_Transfer
2023-10-30,14:49,ACC848423,ACC187513,3673.5,USD,CNY,UAE,Turkey,Cheque,1,Suspicious_Cash_Intensive
2023-05-03,18:28,ACC567997,ACC426158,4526.24,TRY,AED,China,UK,E-Wallet,0,Normal_Personal_Transfer
2023-03-05,02:29,ACC667922,ACC851247,1578.21,USD,MXN,Mexico,Germany,Cross-Border,1,Suspicious_Cash_Intensive
2023-09-17,23:05,ACC217255,ACC306924,6824.58,MXN,EUR,USA,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-10-29,21:21,ACC667152,ACC941688,7517.7,TRY,CNY,Germany,UK,E-Wallet,0,Normal_Personal_Transfer
2023-02-06,06:29,ACC980914,ACC883837,1819.31,AED,AED,Morocco,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-03-29,19:44,ACC137355,ACC873940,459.48,EUR,GBP,UK,UK,E-Wallet,0,Normal_Personal_Transfer
2023-02-21,12:26,ACC137690,ACC723031,818.6,AED,CNY,China,Germany,Debit Card,0,Normal_Corporate_Payment
2023-05-07,11:05,ACC531030,ACC289702,6573.89,AED,AED,China,Mexico,Cheque,1,Suspicious_CrossBorder_Transfer
2023-06-14,07:32,ACC787005,ACC346968,1363.75,GBP,CNY,UK,China,Credit Card,0,Normal_Corporate_Payment
2023-10-01,13:56,ACC840174,ACC977622,4944.25,EUR,GBP,USA,Turkey,Cash,1,Suspicious_Cash_Intensive
2023-08-26,17:31,ACC303811,ACC938147,1534.89,GBP,USD,Morocco,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-08-15,09:51,ACC680918,ACC107466,1709.78,CNY,EUR,Turkey,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-05-09,15:06,ACC279243,ACC881863,53.56,CNY,AED,UAE,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-11-04,16:47,ACC645946,ACC904069,3215.03,EUR,AED,UK,Turkey,Cheque,1,Suspicious_Shell_Companies
2023-06-22,17:04,ACC617196,ACC492568,907.07,MXN,AED,Turkey,USA,Cash,1,Suspicious_Related_Accounts
2023-12-24,01:14,ACC619757,ACC168745,3945.67,USD,CNY,China,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-08-20,20:38,ACC339204,ACC660605,5981.87,CNY,GBP,China,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-02-16,10:59,ACC377941,ACC805126,3681.64,GBP,CNY,Germany,USA,Cheque,1,Suspicious_Structuring
2023-09-04,06:17,ACC945231,ACC234150,7053.77,MXN,AED,Germany,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-04-29,05:48,ACC480445,ACC857154,7417.1,USD,USD,China,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-09-08,11:35,ACC853702,ACC627831,6969.1,USD,USD,Germany,UK,Debit Card,0,Normal_Personal_Transfer
2023-01-26,21:17,ACC414380,ACC484934,9367.77,TRY,MAD,Germany,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-03-05,09:04,ACC630553,ACC587843,2380.57,AED,CNY,Germany,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-11-09,17:59,ACC620335,ACC151052,1902.67,TRY,MAD,China,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-03-24,02:19,ACC749899,ACC646352,6101.02,AED,GBP,USA,Mexico,Cash,1,Suspicious_Structuring
2023-11-02,11:25,ACC303206,ACC696575,5952.82,TRY,GBP,USA,Germany,Cheque,1,Suspicious_Structuring
2023-04-12,23:48,ACC546710,ACC704730,5105.88,GBP,USD,Morocco,China,Mobile Payment,0,Normal_Personal_Transfer
2023-08-23,18:29,ACC483898,ACC744838,53.49,GBP,MAD,Mexico,Turkey,ACH Transfer,0,Normal_Corporate_Payment
2023-09-11,05:03,ACC782358,ACC576848,5556.83,AED,AED,Germany,USA,E-Wallet,0,Normal_Personal_Transfer
2023-07-07,12:02,ACC191426,ACC114425,9328.65,CNY,AED,USA,UK,Cheque,1,Suspicious_CrossBorder_Transfer
2023-04-22,05:36,ACC507522,ACC413625,3352.43,USD,CNY,Mexico,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-03-19,09:49,ACC819366,ACC177347,9676.32,GBP,GBP,UK,Mexico,Cash,1,Suspicious_CrossBorder_Transfer
2023-01-13,18:43,ACC611933,ACC576330,3574.0,USD,EUR,Germany,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-04-21,18:30,ACC278417,ACC696605,1407.15,MXN,USD,USA,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-08-27,05:28,ACC242957,ACC616066,3990.05,EUR,USD,USA,China,Debit Card,0,Normal_Corporate_Payment
2023-12-09,22:08,ACC733969,ACC580042,4951.17,USD,GBP,Turkey,UAE,Debit Card,0,Normal_Personal_Transfer
2023-11-14,14:13,ACC930258,ACC150530,6298.35,USD,GBP,USA,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-10-07,09:07,ACC679885,ACC443243,5053.73,MXN,GBP,Turkey,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-10-15,12:02,ACC197375,ACC388032,5371.82,AED,CNY,Mexico,China,Credit Card,0,Normal_Corporate_Payment
2023-08-31,14:31,ACC871365,ACC782851,250.43,TRY,AED,Turkey,Germany,Cheque,1,Suspicious_Related_Accounts
2023-04-06,13:26,ACC903516,ACC608653,2543.67,MAD,AED,UK,Mexico,Cash,1,Suspicious_RapidMovement
2023-11-28,11:40,ACC451591,ACC777036,3113.86,CNY,CNY,UAE,UAE,E-Wallet,0,Normal_Corporate_Payment
2023-09-02,12:07,ACC628671,ACC427980,9871.01,AED,EUR,Morocco,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-07-24,04:14,ACC192313,ACC268535,2962.72,TRY,CNY,UAE,UK,Cross-Border,1,Suspicious_RapidMovement
2023-02-10,19:30,ACC920793,ACC996910,8966.82,TRY,USD,Germany,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-06-13,13:00,ACC180294,ACC935422,3054.31,CNY,MXN,USA,China,Mobile Payment,0,Normal_Personal_Transfer
2023-06-18,03:08,ACC685619,ACC710832,970.14,AED,CNY,Morocco,UK,Cheque,1,Suspicious_Shell_Companies
2023-11-12,18:23,ACC195057,ACC687915,2483.7,AED,EUR,China,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-07-19,22:22,ACC251601,ACC513437,2735.56,CNY,EUR,Germany,Mexico,E-Wallet,0,Normal_Personal_Transfer
2023-05-19,22:44,ACC813934,ACC870325,9782.7,USD,AED,China,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-12-23,08:51,ACC843987,ACC850230,6746.17,USD,CNY,Morocco,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-02-10,03:15,ACC483829,ACC602270,9317.49,GBP,MAD,Mexico,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-06-04,12:26,ACC196917,ACC228345,8351.6,GBP,USD,USA,China,Cross-Border,1,Suspicious_Shell_Companies
2023-01-16,02:42,ACC594132,ACC579053,5790.2,EUR,AED,Germany,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-09-28,22:24,ACC393076,ACC697131,6757.13,EUR,MXN,Germany,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-12-02,04:24,ACC615303,ACC129251,6252.12,MAD,USD,USA,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-04-13,06:03,ACC364052,ACC539802,6665.97,AED,EUR,Morocco,UK,E-Wallet,0,Normal_Corporate_Payment
2023-11-10,09:45,ACC606705,ACC855053,2655.09,GBP,GBP,UK,China,Cheque,1,Suspicious_Structuring
2023-04-17,09:11,ACC523574,ACC698706,4087.17,AED,USD,Mexico,UK,Cheque,1,Suspicious_Structuring
2023-11-29,19:04,ACC654700,ACC939052,5930.23,USD,CNY,USA,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-10-03,10:57,ACC970142,ACC634328,368.93,MXN,USD,UAE,UAE,Credit Card,0,Normal_Personal_Transfer
2023-10-21,04:05,ACC353928,ACC276950,4833.52,GBP,GBP,UAE,China,Debit Card,0,Normal_Corporate_Payment
2023-01-07,06:24,ACC312104,ACC499185,8598.67,USD,MXN,Turkey,USA,Credit Card,0,Normal_Corporate_Payment
2023-12-18,12:13,ACC102928,ACC113162,4928.75,AED,MXN,Germany,UAE,Credit Card,0,Normal_Corporate_Payment
2023-09-23,03:32,ACC951590,ACC689723,5527.71,CNY,USD,UK,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-04-22,14:40,ACC261704,ACC361989,2027.03,GBP,AED,Germany,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-10-30,13:34,ACC132309,ACC742792,7945.49,TRY,CNY,China,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-04-13,17:09,ACC895712,ACC436811,3595.19,GBP,GBP,Germany,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-11-15,22:30,ACC140449,ACC490802,9566.31,AED,MAD,UAE,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-02-11,21:53,ACC913389,ACC629325,9937.21,AED,USD,Mexico,Germany,Cross-Border,1,Suspicious_RapidMovement
2023-09-14,22:42,ACC792255,ACC422670,9160.85,MAD,GBP,USA,Morocco,Cheque,1,Suspicious_RapidMovement
2023-07-17,05:52,ACC432643,ACC974346,857.92,AED,EUR,Germany,UK,Cheque,1,Suspicious_Structuring
2023-02-05,03:09,ACC717345,ACC245765,3338.5,TRY,MAD,UAE,Mexico,Cheque,1,Suspicious_Cash_Intensive
2023-03-30,07:15,ACC853511,ACC619405,9451.92,USD,GBP,Turkey,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-01-05,21:28,ACC472209,ACC978594,8047.29,TRY,AED,China,Turkey,E-Wallet,0,Normal_Personal_Transfer
2023-06-21,23:19,ACC605074,ACC159090,9112.72,GBP,USD,UAE,UK,E-Wallet,0,Normal_Personal_Transfer
2023-04-20,20:37,ACC777055,ACC689848,5729.81,CNY,TRY,China,Morocco,Debit Card,0,Normal_Corporate_Payment
2023-08-07,02:38,ACC699181,ACC499178,4809.17,TRY,MXN,USA,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-04-19,22:44,ACC556339,ACC590167,1073.9,MAD,USD,China,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-04-20,10:09,ACC911608,ACC451696,8396.32,MXN,GBP,Morocco,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-09-29,00:13,ACC773769,ACC378588,7453.96,TRY,CNY,USA,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-01-18,10:37,ACC879824,ACC402587,598.18,AED,MAD,Mexico,UK,Credit Card,0,Normal_Personal_Transfer
2023-11-26,01:06,ACC943399,ACC771866,2102.05,MAD,MAD,USA,Morocco,Cash,1,Suspicious_RapidMovement
2023-11-08,13:03,ACC625275,ACC531600,5577.2,TRY,GBP,UAE,Turkey,Cash,1,Suspicious_Cash_Intensive
2023-09-01,08:07,ACC298573,ACC609090,6847.18,EUR,CNY,UK,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-08-05,11:21,ACC336692,ACC459373,1385.33,MXN,MXN,China,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-11-22,14:42,ACC983286,ACC474458,2455.8,USD,USD,China,UAE,ACH Transfer,0,Normal_Corporate_Payment
2023-03-09,20:51,ACC126015,ACC613062,1939.17,AED,MAD,Turkey,UK,Credit Card,0,Normal_Personal_Transfer
2023-01-29,15:53,ACC587943,ACC648536,2207.77,MAD,MAD,UAE,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-03-29,10:25,ACC474494,ACC539378,9207.92,TRY,TRY,Germany,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-10-18,19:39,ACC952836,ACC798050,7161.04,CNY,EUR,UK,Mexico,Cross-Border,1,Suspicious_Structuring
2023-01-13,21:44,ACC216751,ACC489665,7373.7,MXN,TRY,Morocco,Morocco,Cross-Border,1,Suspicious_Cash_Intensive
2023-08-01,02:52,ACC805641,ACC868112,7942.01,USD,EUR,Germany,Germany,Cheque,1,Suspicious_RapidMovement
2023-12-30,12:45,ACC148231,ACC168008,3572.16,MXN,MAD,USA,UAE,Credit Card,0,Normal_Corporate_Payment
2023-11-09,06:49,ACC784392,ACC946741,7674.17,MAD,EUR,Mexico,China,Mobile Payment,0,Normal_Corporate_Payment
2023-07-10,01:07,ACC390449,ACC143237,9784.35,EUR,USD,Turkey,UK,Cash,1,Suspicious_Cash_Intensive
2023-01-24,16:02,ACC154306,ACC370248,6986.96,MAD,MAD,China,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-10-31,20:42,ACC319248,ACC707518,4173.36,MAD,MAD,Morocco,Mexico,Cash,1,Suspicious_CrossBorder_Transfer
2023-08-07,03:54,ACC221139,ACC452410,7166.43,CNY,CNY,UAE,USA,Cross-Border,1,Suspicious_Cash_Intensive
2023-02-11,19:29,ACC642606,ACC659268,9008.94,USD,EUR,Morocco,China,ACH Transfer,0,Normal_Personal_Transfer
2023-02-04,20:28,ACC244318,ACC885345,1296.33,CNY,GBP,Mexico,UK,Credit Card,0,Normal_Corporate_Payment
2023-11-29,21:56,ACC263674,ACC699278,2660.29,CNY,EUR,USA,UK,Cheque,1,Suspicious_Related_Accounts
2023-09-02,06:22,ACC383728,ACC270632,9193.77,USD,EUR,USA,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-10-30,21:41,ACC871687,ACC371698,9462.87,TRY,MXN,UK,China,Cheque,1,Suspicious_Structuring
2023-11-17,07:41,ACC639457,ACC977481,4846.55,GBP,MXN,Germany,China,ACH Transfer,0,Normal_Personal_Transfer
2023-07-28,13:15,ACC125968,ACC600223,3751.76,MAD,USD,China,UK,Cash,1,Suspicious_Structuring
2023-07-08,01:12,ACC304830,ACC277059,2834.99,USD,USD,Morocco,Mexico,Cross-Border,1,Suspicious_Related_Accounts
2023-06-07,01:03,ACC739679,ACC786345,4992.53,CNY,GBP,UAE,USA,ACH Transfer,0,Normal_Personal_Transfer
2023-04-26,17:17,ACC387588,ACC148167,9345.97,MAD,MXN,UAE,Morocco,Cash,1,Suspicious_Related_Accounts
2023-06-08,10:40,ACC334856,ACC347605,1506.6,MAD,TRY,China,UAE,Cash,1,Suspicious_Structuring
2023-10-10,06:09,ACC616328,ACC795788,4204.11,CNY,USD,Morocco,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-08-08,04:34,ACC468225,ACC429382,9116.96,USD,USD,Mexico,Mexico,Cheque,1,Suspicious_Shell_Companies
2023-11-22,16:04,ACC162497,ACC346150,3497.7,EUR,MXN,UK,UAE,Cash,1,Suspicious_Cash_Intensive
2023-06-11,00:00,ACC629650,ACC818083,7683.13,EUR,MXN,Turkey,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-08-10,19:20,ACC985686,ACC117038,3898.71,MAD,GBP,USA,Turkey,Debit Card,0,Normal_Corporate_Payment
2023-08-19,01:54,ACC763610,ACC515435,8051.22,EUR,CNY,UK,Germany,Cross-Border,1,Suspicious_Related_Accounts
